cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"AHOL A SÖTÉTSÉG LAKOZIK","IT LIVES INSIDE",ADS,2023/09/21,9006440,4379
"A LÁNY, AKI A TŰZZEL JÁTSZIK","THE GIRL WHO PLAYED WITH FIRE","BUDAPEST FILM",2010/11/11,8998210,8424
KATASZTRÓFAFILM,"DISASTER MOVIE","BUDAPEST FILM",2008/11/20,8990925,8632
"KICK-ASS 2","KICK-ASS 2","UIP DUNA FILM",2013/08/22,8985620,7240
"ŐK IS A FEJÜKRE ESTEK…",,MOKÉP,1991/11/01,8981623,140503
"LASSIE HAZATÉR","LASSIE: EINE ABENTEURLICHE REISE",PROROM,2020/03/12,8975128,8570
"AZ ARANYPINTY","THE GOLDFINCH",INTERCOM,2019/09/19,8973169,6386
ALIENOID,ALIENOID,MOZINET,2022/09/08,8966485,5877
"KÖNNYEN VEDD A",,FLAMEX,,8962078,55908
KÖNTÖRFALAK,,FILMTEAM,2010/02/11,8950737,11678
NYUGALOM,,HUNGAROTOP,2008/02/21,8943786,25367
"TOPMODELL A BARÁTNŐM","LA DOUBLURE","BEST HOLLYWOOD",2007/04/26,8936396,11186
"A FALKA","THE FLOCK","BEST HOLLYWOOD",2007/11/22,8915741,8789
"GOMBOS JIM ÉS LUKÁCS, A MASINISZTA","JIM KNOPF UND LUKAS DER LOKOMOTIVFÜHRER",VERTIGO,2018/06/21,8900510,7285
ŰRKALÓZOK,,MOKÉP,1991/01/03,8887482,160168
FARKASBŐRBEN,"100% WOLF",ADS,2020/10/22,8877963,6156
"TŰZ,JÉG,DINAMIT",,CONSTATIN,1991/02/28,8877612,161449
"SZEMENSZEDETT SZENZÁCIÓ",,"UIP DUNA FILM",1991/01/10,8874344,144238
"AZ ÁRNYÉK-ÖSSZESKÜVÉS",,INTERCOM,1998/01/29,8862077,26864
"LAZHAR TANÁR ÚR","MONSIEUR LAZHAR",VERTIGO,2012/09/20,8858090,8928
BARTÓK,BARTÓK,FILMNET,2017/09/14,8850460,6601
"PÉNTEK BARCELONÁBAN","UNA PISTOLA EN CADA MANO",CIRKO,2013/07/04,8847988,7386
"A LEGKÚLABB NAP","THE MOST BEAUTIFUL DAY","BIG BANG MEDIA",2016/05/26,8844495,6422
"A VÖRÖS TEKNŐS","LA TORTUE ROUGE",MOZINET,2017/01/12,8837215,7272
"SZAMURÁJ ZATOICHI",,INTERSONIC,2004/04/15,8828563,13062
"A LÉGY II.",,MOKÉP,1990/06/07,8823653,172748
"JÖTTÜNK,LÁTTUNK,VISSZAMENNÉ",,MOKÉP,1994/01/20,8817426,74858
"TÖKÖS ÖTÖS",FIVE,ADS,2016/10/27,8811695,6232
MELANKÓLIA,MELANCHOLIA,CIRKO,2011/10/27,8808700,9386
"FRANKLIN, A TEKNŐS","FRANKLIN ET LE TRÉSOR DU LAC","BEST HOLLYWOOD",2008/01/10,8789267,13406
"LÉLEKTŐL LÉLEKIG","MAN TO MAN","BEST HOLLYWOOD",2005/08/18,8780683,12765
HARAPÁS,,MOKÉP,1990/02/15,8769016,197069
KISCSÁVÓ,"LITTLE MAN",INTERCOM,2006/11/23,8759170,8671
KÓRISTÁK,"LES CHORISTES","BUDAPEST FILM",2004/12/16,8758732,16322
DÉMONI,DEMONIC,ADS,2021/08/05,8754305,5434
"A TANÁRI SZOBA","DAS LEHRERZIMMER",MOZINET,2023/12/21,8752349,4630
"MAJDNEM BOMBANŐK","MES COPINES",PARADIGMA,2007/05/03,8750945,9043
"ESZELŐS SZÍVATÁS",,INTERCOM,1991/07/19,8750454,147278
"AMIKOR LESZÁLL AZ ÉJ",ARCADIAN,ADS,2024/05/30,8748020,3655
"MARSUPILAMI NYOMÁBAN","SUR LE PISTE DU MARSUPILAMI","BUDAPEST FILM",2012/08/16,8739929,7633
"NEON DÉMON","THE NEON DEMON",VERTIGO,2016/06/24,8736161,7075
"ASZERELEM TENGERE",,"UIP DUNA FILM",1990/02/08,8727835,176437
"A KEGYELEM FAJTÁI","KINDS OF KINDNESS",FORUM,2024/09/19,8722865,4080
HAMLET,,"BUDAPEST FILM",1992/04/17,8718550,82046
"TÖK JÓ,VÁNAK A SZÜLEIM",,"BUDAPEST FILM",1992/03/06,8710795,125672
"A FŐNIX ÚTJA","FLIGHT OF THE PHOENIX",INTERCOM,2005/03/31,8699812,9478
"A HERCEG HALADÉKA",,HUNGARICOM,2006/01/03,8681376,29726
"A KIRÁLY LÁTOGATÁSA - HYDE PARK ON HUDSON","HYDE PARK ON HUDSON","BIG BANG MEDIA",2013/01/17,8668724,7659
"AZ ELSŐ IGAZI KARÁCSONY","DEN FØRSTE JULEN I SKOMAKERGATA",ADS,2023/12/21,8668140,4161
"PUSZTA ACÉL",,FLAMEX,1993/02/26,8667865,93172
"SZABADULÓSZOBA – A RETTEGÉS SZINTJEI","THE SOCIAL EXPERIMENT",ADS,2023/10/19,8661250,4674
"SIMON MÁGUS",,"BUDAPEST FILM",1999/10/21,8653320,22226
"TINI NINDZSA TEKNŐCÖK.2.",,INTERCOM,1992/06/12,8639031,137034
RESPECT,RESPECT,FORUM,2021/08/12,8635875,5532
JÓFIÚ,,INTERCOM,1994/03/10,8633448,65770
"TALPIG FEGYVERBEN","GUNS AKIMBO",ADS,2020/03/05,8632965,5419
"A REPÜLŐ OSZTÁLY","DAS FLIEGENDE KLASSENZIMMER",VERTIGO,2024/03/14,8626570,3754
"BLUE VALENTINE","BLUE VALENTINE","BUDAPEST FILM",2011/08/18,8616175,9104
"SALO,AVAGY SODOMA...",,"BUDAPEST FILM",,8614892,37783
BÁRÁNYBŐRBEN,,FLAMEX,,8603381,48785
"INTIM  FEJLÖVÉS",,"KATAPULT FILM",2009/06/04,8597585,15101
KARAMELL,"SUKKAR BANAT","BUDAPEST FILM",2008/05/29,8591659,10936
"ŐRÜLT SZAFARI",,MOKÉP,1992/06/05,8578108,116832
"1493,A PARADICSOM",,GUILD,1993/02/19,8557922,87431
"THE BROTHERS BLOOM-SZÉLHÁMOS FIVÉREK","THE BROTHERS BLOOM","BUDAPEST FILM",2009/11/05,8549625,8536
VÁGTA,SEABISCUIT,INTERCOM,2004/01/15,8537353,10680
HŐS,HERO,INTERCOM,2004/05/06,8523767,11953
ÁRNYÉK,,"UIP DUNA FILM",1998/02/23,8522351,58952
"SZÁRNYÁT VAGY COMBJÁT",,MOKÉP,1997/12/27,8521082,123077
"ÚJ RÉMÁLOM",,FLAMEX,,8519498,52807
SORSJEGYESEK,,INTERCOM,1994/11/03,8505718,59153
"KÉZ,AMELY A BÖLCSŐT...",,INTERCOM,1993/06/04,8502011,86978
"AZ ÜGYNÖKÖK A PARADICSOMBA MENNEK",,VIDEOPARTNER,2010/12/16,8493200,10150
"A BIGGER SPLASH","A BIGGER SPLASH",JIL,2016/06/30,8483321,6732
CHIPKATONÁK,,"UIP DUNA FILM",1998/10/25,8483000,26430
"CSEKKBEN A TENGER",,INTERCOM,1994/06/16,8462524,72264
"MENEKÜLŐ EMBER",,MOKÉP,1990/07/26,8461431,162606
JULIETA,JULIETA,CINETEL,2017/05/04,8456395,6553
SZESZTOLVAJOK,"ANGELS' SHARE",VERTIGO,2012/10/18,8456363,7827
"EGYEDÜLÁLLÓ NŐ MEGOSZTANÁ",,INTERCOM,1992/10/30,8441019,104231
"JACK MIMOUN ÉS A REJTÉLYEK SZIGETE","JACK MIMOUN ET LES SECRETS DE VAL VERDE",ADS,2023/01/19,8440160,4148
ÉLETVONAT,,"BUDAPEST FILM",2000/09/28,8439485,17786
"B13 - BŰNÖS NEGYED","BANLIEU 13",SPI,2005/06/26,8434332,13849
"PÁL ADRIENN","ADRIENN PAL",MOZINET,2011/03/17,8425550,10798
"TALPIG ZŰRBEN",,"UIP DUNA FILM",1991/07/12,8421000,130274
"POWER RANGERS",,INTERCOM,1998/08/17,8416874,53230
REJTEKHELY,,INTERCOM,1998/09/21,8382793,46817
HULLAJÓ,,FLAMEX,1992/10/30,8365661,100451
LOPAKODÓ,,FLAMEX,,8363510,57932
"SZERENCSÉS NYERTESEK","LUCKY WINNERS",ADS,2024/08/22,8361600,3645
"YAO UTAZÁSA",YAO,MOZINET,2019/07/18,8349278,6734
"KELJ FEL KOMÁM,NE ALUDJÁL",,"BUDAPEST FILM",2003/02/06,8347724,16536
"HASZNOS HOLMIK",,FLAMEX,1996/07/25,8341534,36261
"KÉSZ CIRKUSZ",,"BUDAPEST FILM",2005/09/15,8323075,17875
"A SZERELEM HÁROM ÉVIG TART","L'AMOUR DURE TROIS ANS",VERTIGO,2012/08/16,8317097,7297
MICHAEL,,INTERCOM,1998/05/15,8307831,29049
"KARETE KID III.",,INTERCOM,1990/05/24,8298653,188569
"VISSZATÉRÉS A PARADICSOMBA",,"BUDAPEST FILM",1999/09/02,8298318,18099
"BEFEJEZETLEN ÉLET","AN UNFINISEHED LIFE",MOKÉP,2006/03/16,8290843,11842
"VEZESS HELYETTEM","DRIVE MY CAR",MOZINET,2022/03/18,8278040,6032
PARA,,"BUDAPEST FILM",2008/10/16,8274765,10868
"ELADÓ A SZERELEM","COMBIEN TU MAIMES?","BEST HOLLYWOOD",2006/10/26,8271830,12215
FARKANGYAL,,GUILD,1992/07/10,8258977,106187
"ZÖLD KÁRTYA",,INTERCOM,1991/07/05,8254483,137424
"A BESZÉD","LE DISCOURS ",MOZINET,2021/08/12,8245365,6323
RÉMÁLOM,NIGHTMARE,VERTIGO,2023/06/22,8233220,4292
"CSAPD LE CSACSI",,INTERCOM,1992/02/21,8223382,127195
"A PROVANCE-I FŰSZERES","LE FILS DE LEPICIER",ANJOU-LAFAYETTE,2009/04/23,8198285,11760
HATODIK,,"BEST HOLLYWOOD",2000/10/12,8195579,12505
"HA A FÉRFI IGAZÁN SZERET",,INTERCOM,1994/10/20,8192922,59728
"DOUBLE DRAGON",,INTERCOM,1998/07/06,8186296,54010
"EGY HÉT PESTEN ÉS BUDÁN",,"BUDAPEST FILM",2003/11/13,8184601,13781
"HETEDIK TESTVÉR",,"BUDAPEST FILM",1996/04/04,8166647,84082
"EGY KAPCSOLAT VÉGE",,INTERCOM,2000/04/27,8160115,17738
"LAZACFOGÁS JEMENBEN ","SALMON FISHING IN THE YEMEN","FÓRUM HUNGARY",2012/03/15,8156650,6153
"SOSEM VOLTÁL ITT","YOU WERE NEVER REALLY HERE",ADS,2018/05/17,8155123,5743
"VILLÁM CHARLIE","FAST CHARLIE",VERTIGO,2024/01/25,8154215,3443
"AZ ADÓSSÁG","THE DEBT","UIP DUNA FILM",2011/11/17,8153830,6803
"HAJRÁ CSAJOK",,KINOWELT,2000/12/07,8139154,14556
"A VÁNDORLÓ PALOTA","HOWLS MOVING CASTLE","BEST HOLLYWOOD",2005/12/15,8130469,14422
"SENKI SZIGETE","SENKI SZIGETE","A COMPANY",2014/10/16,8130194,7993
"BÁLNÁK, A BOLYGÓ ŐREI","LES GARDIENNES DE LA PLANÈTE",VERTIGO,2024/02/29,8105691,3661
"ANYÁD!..A SZÚNYOGOK",,"BUDAPEST FILM",2000/02/10,8103470,23620
"HIGGY NEKI HISZ ZSARU",,"UIP DUNA FILM",1990/06/28,8097014,149363
"DOKTOR ZSIVÁNYOK",,"BUDAPEST FILM",2000/05/11,8095813,17562
"A PAP GYERMEKEI","SVECENIKOVA DJECA",MOZINET,2014/07/17,8094946,7710
"FLORIDAI ÁLOM","THE FLORIDA PROJECT",ADS,2018/01/18,8085704,5932
ARANYFIÚ,,MOKÉP,1997/05/17,8075043,173644
"ITT A VÉGE","THIS IS THE END",INTERCOM,2013/10/17,8074520,6140
"APRÓ TITKOK","LITTLE CHILDREN",INTERCOM,2007/02/15,8072867,11170
"A FELTALÁLÓ","A FELTALÁLÓ",PANNONIA,2020/02/06,8054695,5537
ULTRA,ULTRA,MOZINET,2017/09/21,8049442,6782
"MARADJ !",STAY,INTERCOM,2006/04/27,8044080,8253
MAGNÓLIA,,KINOWELT,2000/04/27,8043229,16056
LASSIE,,"UIP DUNA FILM",1998/03/31,8037467,71732
BÁLNALOVAS,"EHALE RIDER","BUDAPEST FILM",2004/10/28,8031078,14116
"MENTÉS MÁSKÉPP","MENTÉS MÁSKÉPP","RÓZSA PRODUKTUM",2021/08/26,8019770,6497
RENESZÁNSZEMBER,,INTERCOM,1998/02/23,8014463,48159
"DOGMAN - A KUTYÁK URA",DOGMAN,VERTIGO,2023/10/19,8005335,4447
"IVAN CSONKIN",,"BUDAPEST FILM",,8003693,40536
"A SZARVASVADÁSZ",,"BUDAPEST FILM",1990/03/01,8002235,272730
INTIMITÁS,,"BEST HOLLYWOOD",2002/05/09,7973635,15183
"AZ  ÚR HANGJA","AZ  ÚR HANGJA",VERTIGO,2018/12/20,7952244,6800
"A SZERELEM MŰVÉSZETE","LART DAIMER",VERTIGO,2012/02/09,7951745,8018
"DUPLA VAGY** MINDEN",,FLAMEX,2001/08/02,7951488,11044
"A BOLDOGSÁGTÓL ORDÍTANI",,"BUDAPEST FILM",1999/05/13,7949340,20141
"MINDEN KUTYA MENYORSZÁGBA",,FLAMEX,1993/04/02,7944121,113911
"PALACE HOTEL","THE PALACE","CIRKO FILM",2023/12/14,7940850,3633
"SZOBA GYEREKKEL KIADÓ","LES DENTS, PIPI ET AU LIT / FULL HOUSE",ADS,2018/08/16,7932495,5651
"TOMBSTONE-HALOTT VÁROS",,INTERCOM,1994/06/09,7924210,58173
"TŐRJÖN KI A FRÁSZ",,FLAMEX,1998/11/13,7889783,29325
GLAMOUR,,MOKÉP,2000/10/19,7878195,21019
HALHATALANOK,"IMMORTEL AD VITAM",INTERSONIC,2004/12/02,7877497,8622
EGYSZER,ONCE,"BUDAPEST FILM",2008/06/12,7869849,11151
"JÁTSSZ A TÚLÉLÉSÉRT",,FLAMEX,,7862633,44672
ÉBREDÉSEK,,INTERCOM,1991/04/26,7843719,137328
"A BÉRGYILKOS",,"DRIVE IN",1993/04/09,7837745,78396
"A JAGUÁR",,"UIP DUNA FILM",1998/01/29,7830608,26353
"A BÉRGYILKOSNŐ",,INTERCOM,1993/12/10,7819036,67977
"EGY KUPAC KUFLI","EGY KUPAC KUFLI",KEDD,2017/08/17,7807373,6372
"TAMARA DREWE","TAMARA DREWE","BUDAPEST FILM",2011/01/06,7803010,7707
"AZ ANGOL AKI A DOMBRA MENT",,INTERCOM,1996/01/11,7784925,37285
PÁR-BAJ,,KINOWELT,2000/03/02,7763627,13852
"MOST VAN MOST","MOST VAN MOST",ROMIS,2019/03/07,7758740,5068
CSAPATLEÉPÍTÉS,SEVERANCE,"BEST HOLLYWOOD",2007/08/23,7750655,13608
"NYOM NÉLKÜL",,INTERCOM,1993/08/20,7748154,69615
"KIVÉRZŐ SZERELEM","LOVE LIES BLEEDING",MOZINET,2024/07/18,7740715,3223
"A TITKOS AJTÓ","THE DOOR IN THE FLOOR","BUDAPEST FILM",2005/05/05,7737735,10228
"HAROLD FRY VALÓSZÍNŰTLEN UTAZÁSA","THE UNLIKELY PILGRIMAGE OF HAROLD FRY",VERTIGO,2024/01/04,7736559,3750
"AMERIKAI PASZTORÁL","AMERICAN PASTORAL",MOZINET,2017/04/13,7735618,5966
"IGAZI MIKULÁS",,HUNGAROTOP,2005/12/01,7732686,36682
"OSCAR WILDE SZERELMEI",,"BUDAPEST FILM",1999/07/29,7732415,18092
"AZ ADMIRÁLIS",ADMIRAL,"BEST HOLLYWOOD",2009/09/24,7722193,11764
"ÖBÖL AKCIÓ",,MOKÉP,1993/04/02,7692009,78102
L.A.STORY,,INTERCOM,1991/06/28,7666812,136383
KILAKOLTATÁS,KILAKOLTATÁS,"BUDAPEST FILM",2022/03/17,7654935,4923
ÁRVAHÁZ,"EL ORFANATO","BUDAPEST FILM",2008/11/13,7641730,7011
"ARIZONAI ÁLMODOZÓK",,"BUDAPEST FILM",1993/06/04,7635586,55342
HOLTIDŐ,,"UIP DUNA FILM",1996/06/06,7620487,26266
VISSZAKÉZBŐL,,INTERCOM,1992/02/07,7612768,100475
"MARVIN SZOBÁJA",,"UIP DUNA FILM",1999/04/15,7603440,20085
"CLARA - EGY TÜNDÉRI KALAND",CLARA,VERTIGO,2019/10/31,7601880,6111
"AZ ERŐSZAK VÉGE",,"BUDAPEST FILM",1998/01/15,7587731,23366
"EGY LÉLEGZETNYIRE","DANS LA BRUME","BIG BANG MEDIA",2018/05/10,7585825,5035
"ANGYALI SZEMEK",,"BEST HOLLYWOOD",2002/03/19,7580122,11849
"EMLÉKSZEM RÁD","ÉG MAN PIG",VERTIGO,2017/11/02,7570848,6369
"SPIRIT-SIKÍTÓ VÁROS","THE SPIRIT","BUDAPEST FILM",2009/03/19,7569434,7275
"A LEGJOBB DOLGOKON BŐGNI KELL","A LEGJOBB DOLGOKON BŐGNI KELL","LAOKOON CINEMA KFT.",2021/09/16,7567966,5135
"RÉM HANGOSAN ÉS IRTÓ KÖZEL","EXTREMELY LOUD AND INCREDIBLY CLOSE",INTERCOM,2012/03/08,7547973,6247
"BABÁK - AZ ELSŐ ÉV",BABIES,"BUDAPEST FILM",2010/10/14,7546325,8343
"SOUL KITCHEN","SOUL KITCHEN","BUDAPEST FILM",2010/10/21,7527020,8214
"FIÚK AZ ÉLETEMBŐL",,INTERCOM,2002/02/14,7524378,10139
"A PHILADELPHIAI ZSARU",,MOKÉP,1990/10/18,7524275,147920
"PISZKOS PÉNZ","DROP, THE",INTERCOM,2014/10/30,7512195,5274
"ERIK,A VIKING",,CONSTATIN,1990/07/26,7505000,149000
"GYILKOS PARTY","MURDER PARTY ",ADS,2022/07/21,7492165,4380
"ÉJJEL-NAPPAL FIATALOK",,"BUDAPEST FILM",2001/08/16,7489013,12264
"A HÍVATLAN","THE WRETCHED",ADS,2021/06/24,7484350,4526
"TÉTOVA FÉLRELÉPŐK","LATE BLOOMERS",VERTIGO,2012/04/12,7467040,6757
"CSAK ISTEN BOCSÁTHAT MEG","ONLY GOD FORGIVES",VERTIGO,2013/08/08,7461349,5462
"AZ IDŐKAPU-VADAK URA 2.",,FLAMEX,1992/09/18,7457167,98269
"SAIGON A TILTOTT ZÓNA",,MOKÉP,1990/07/12,7447392,144561
"REPÜLŐ TŐRÖK KLÁNJA","HOUSE OF FLYING DAGGERS",INTERSONIC,2005/04/21,7444061,11095
"MY GIRL",,INTERCOM,1992/06/19,7441027,102620
"ÁSÓ,KAPA, NAGY KALAND",,GUILD,1992/09/04,7421893,93735
"AZ UTOLSÓ BELŐVÉS",,"BUDAPEST FILM",1998/03/26,7418433,21980
"TEKERD VISSZA ,HAVER","BE KIND REWIND","BUDAPEST FILM",2008/10/23,7412611,9235
"HATALMAS APHRODITÉ",,MOKÉP,1997/09/18,7402609,25455
"A HÁZBAN","DANS LA MAISON",VERTIGO,2013/03/14,7395254,6731
"A HÁZBAN","DANS LA MAISON",VERTIGO,2013.03.14,7395254,6731
"TANGO LIBRE – SZABAD A TÁNC","TANGO LIBRE",MOZINET,2013/03/21,7392711,6569
"HULLÁMOK HERCEGE",,INTERCOM,1992/03/06,7392460,96266
"KÁRHOZOTT SZERETŐK","ASK THE DUST","BEST HOLLYWOOD",2006/09/14,7382439,7722
"NE ENGEDJ EL!","NEVER LET ME GO","BUDAPEST FILM",2011/05/26,7379830,7658
"TANGÓ ÉS TULIPÁN","PANE E TULIPANI","BEST HOLLYWOOD",2005/06/02,7362718,11575
"NŐK TRANSZBAN","CONNIE & CARLA",INTERCOM,2004/10/21,7360738,7739
"DIÓTÖRŐ 3D","NUTRACKER IN 3D",VERTIGO,2011/12/08,7360260,5838
"THE FINEST HOURS/VIHARLOVAGOK","THE FINEST HOURS","FÓRUM HUNGARY",2016/01/28,7356300,4334
"ISTEN NEM VER BOBBAL",,INTERCOM,1991/10/11,7350502,120684
INTACTO,INTACTO,"BUDAPEST FILM",2003/07/17,7349938,10263
SZUPER-HIPOCHONDER,SUPERCONDRIAQUE,MTVA,2014/09/11,7340580,5374
CAPOTE,CAPOTE,INTERCOM,2006/04/06,7336016,8974
KITUR-LAK,,INTERCOM,1992/06/26,7335024,100696
"WONG FOO",,"UIP DUNA FILM",1996/02/29,7333878,36078
"HAJSZÁL HIJÁN",,INTERCOM,1990/11/01,7332906,145187
PONYVAREGÉNY,"PULP FICTION",SPI,2005/12/01,7327784,14725
"RADICS BÉLA, A MEGÁTKOZOTT GITÁROS","RADICS BÉLA, A MEGÁTKOZOTT GITÁROS",FILMWORKS,2023/05/04,7303019,3750
"WILBUR ÖNGYILKOS AKAR LENNI","WILBUR BEGAR SELVMORD","BUDAPEST FILM",2004/06/13,7302392,13605
"BŰNÖS VAGYOK","THE CRIME IS MINE ",VERTIGO,2023/05/18,7301660,3839
TRANSAMERICA,TRANSAMERICA,"BUDAPEST FILM",2006/04/13,7295446,10981
"A GYERMEK","THE HOLE IN THE GROUND",ADS,2019/05/23,7294985,4789
"A SÁRKÁNY ÉVE",,MOKÉP,1997/02/01,7290684,154375
"VESZEDELMES VISZONYOK",,INTERCOM,1998/11/09,7276493,185739
"A MAGAS ŐSZ FÉRFI TÁRSAT KERES","MR STEIN GOES ONLINE",ADS,2017/06/01,7273323,6674
"FORD FAIRLANE KALANDJAI",,MOKÉP,1990/11/29,7270765,121506
"KÉT ANGOL LÁNY",,"BUDAPEST FILM",1998/10/01,7265360,20137
BECSÜLETKÓDEX,"LA MENTALE","BEST HOLLYWOOD",2003/05/01,7258658,9190
"AZ ÉN SZERELMEM","MON ROI",VERTIGO,2016/01/07,7257828,5917
"BÜNBE ÉGVE",,INTERCOM,1993/10/15,7245634,64466
"ÜSS VAGY FUSS","HIT & RUN","BIG BANG MEDIA",2012/09/20,7241804,5537
FRANTZ,FRANTZ,VERTIGO,2017/05/18,7240739,6334
KUNDUN,,MOKÉP,1998/09/17,7235957,22270
PANDORUM,PANDORUM,SPI/FÓRUM,2010/03/11,7208528,6104
"101 REJKJAVIK",,"BUDAPEST FILM",2002/07/04,7203940,12036
JADE,,"UIP DUNA FILM",1996/01/18,7193757,37293
KOLJA,,INTERCOM,1998/09/18,7184078,26759
"HÓFEHÉRKE ÉS A HÉT TÖRPE",,INTERCOM,1992/06/05,7178972,127579
BIRKANYÍRÁS,BARBERSHOP,SPI,2003/10/23,7156652,8447
"NEM HALOK MEG","NEM HALOK MEG",MOZINET,2024/01/04,7120480,3795
"A SAINT TROPEZI LEÁNYKERE",,MOKÉP,1991/02/28,7097852,112371
"SZÖRNYEN BOLDOG HALLOWEEN","SALMA'S BIG WISH",ADS,2019/10/24,7097810,5814
"MURIEL ESKÜVŐJE",,"BUDAPEST FILM",,7089455,34452
"GOYA KISERTETEI","GOYAS GHOSTS","FÓRUM HUNGARY",2007/05/03,7088694,9732
"JACK A VILLÁM",,INTERCOM,1994/11/24,7073040,50455
PESTIS,,"BUDAPEST FILM",,7072849,41030
"MASHA ÉS A MEDVE: MASHA DALAI","MASHA AND THE BEAR: MASHA'S SONGS",VERTIGO,2020/08/27,7051975,5345
"TRISZTÁN & IZOLDA","TRISTAN & IZOLDE",SPI,2006/08/31,7021404,14548
"A SZERELEM HARLEY DAVIDSON",,"BUDAPEST FILM",1992/04/03,7006649,92187
"HIÚSÁG VÁSÁRA","VANITY FAIR",INTERSONIC,2005/03/31,6999543,9202
"A PÚPOS",,METROPOLIS,1999/04/08,6996811,17179
"A CSODÁK KÖNYVE","La chambre des merveilles",VERTIGO,2023/09/14,6993641,4014
"BIZÁNCI TŰZ",,MOKÉP,1991/05/24,6992234,114158
UNDERGROUND,,"BUDAPEST FILM",1996/03/14,6991255,30773
AMUNDSEN,AMUNDSEN,VERTIGO,2019/11/14,6986457,6093
"KAPCSOLATFELVÉTEL STAR TREK",,"UIP DUNA FILM",1997/08/21,6976552,20767
ROSSZLÁNYOK,,INTERCOM,1994/08/04,6975261,52324
LOL,LOL,"BUDAPEST FILM",2012/07/19,6971330,5842
"PORTRÉ A LÁNGOLÓ FIATAL LÁNYRÓL","PORTRAIT OF A LADY ON FIRE",MOZINET,2019/12/26,6969069,5465
"A VÁGY FORRADALMA",,MOKÉP,2001/01/18,6964261,14555
"SZERELMBEN,HÁBORÚBAN",,FLAMEX,1998/03/12,6952447,25449
"ÉSZAKIAK: A VIKING SAGA","NORTHMEN: A VIKING AGA","BIG BANG MEDIA",2014/11/06,6949430,4947
"ÉN, DANIEL BLAKE","I, DANIEL BLAKE",VERTIGO,2016/12/01,6944639,6050
"EGY APÁCA SZERELME",,"BUDAPEST FILM",,6929153,38581
"GYORS MELÓ","GO FAST","FÓRUM HUNGARY",2009/08/27,6922806,6875
"ELLENSÉGES VÁGYAK","SE, JIE","BUDAPEST FILM",2008/02/28,6919135,8683
"KINYÍRNI A VILÁGOT","BOY KILLS WORLD",PROROM,2024/06/20,6912067,2889
"A TANU TESTE",,CONSTATIN,1993/05/21,6910230,70155
"TÚL A FELHŐKÖN",,"BUDAPEST FILM",1996/09/08,6909651,28173
"FIÚK NEM SÍRNAK",,INTERCOM,2000/04/06,6897746,17044
"POKOLI FUTAM","VEHICLE 19","BIG BANG MEDIA",2013/04/18,6892893,5244
"REPÜLÉS KEZDŐKNEK","NORTHERN COMFORT","CIRKO FILM",2023/10/26,6886640,3299
"A TITKÁRNŐ",SECRETARY,"BUDAPEST FILM",2003/03/27,6884448,9832
"ROCKY IV.",,"UIP DUNA FILM",1990/06/14,6883418,133910
BRÓKERARCOK,,KINOWELT,2000/06/08,6881520,12182
"REJTÉLY A RIVIÉRÁN","MYSTÈRE À SAINT-TROPEZ",ADS,2021/11/18,6870505,4199
PLEASENTVILLE,,FLAMEX,1999/05/20,6859784,18304
"HALOTT EMBER",,"BUDAPEST FILM",1996/04/25,6854205,30025
"KETTŐS ÉLETEK","DOUBLES VIES / NON-FICTION",VERTIGO,2019/08/01,6842526,5496
"GYORSABB A HALÁLNÁL ",,INTERCOM,1998/08/03,6827514,41429
"DÜH: CARRIE 2.",,"UIP DUNA FILM",1999/09/02,6819789,13466
"REJTÉLYES MANHATTANI HALÁLES",,INTERCOM,1994/09/01,6815188,41702
"HULLÁZÓ KEDÉLYEK",,"UIP DUNA FILM",1997/04/24,6789316,23869
III.RICHARD,,FLAMEX,1997/03/26,6776224,24839
"HARRY BROWN","HARRY BROWN",VERTIGO,2011/10/06,6767065,6377
ZŰRZAVAR,,"BUDAPEST FILM",2000/12/07,6766236,11169
"UTOLSÓ TÁNC",,INTERCOM,1996/06/06,6758409,33212
"OLTÁRI FRIGY","MY FIRST WEDDING",PARADIGMA,2007/03/15,6745910,6366
MILK,MILK,"BUDAPEST FILM",2009/02/26,6745643,8001
"VÍZIPÓK-CSODAPÓK - A FILM","VÍZIPÓK-CSODAPÓK - A FILM",MOZINET,2019/04/18,6745595,6927
"FÉRFIAK ÉS CSIRKÉK","MEN AND CHICKEN",VERTIGO,2016/02/18,6734152,6091
"TÚL A CSILLOGÁSON","BEHIND THE CANDELBRA","BUDAPEST FILM",2013/08/22,6731448,5457
"CSÓKOK ÉS GÓLOK","FAMILY UNITED",CIRKO,2013/01/02,6730770,5707
"EGEREK ÉS EMBEREK",,"UIP DUNA FILM",1993/02/26,6718576,69901
MÁSODÁLLÁS,"UN PETIT BOULOT","A COMPANY",2017/03/09,6715999,4799
"GOODBY EMANUELLE",,MOKÉP,1990/06/14,6694011,130386
"TITKOK ÉS HAZUGSÁGOK",,"BUDAPEST FILM",1996/12/12,6679706,25647
"RAPA NUI",,"UIP DUNA FILM",1994/09/01,6674476,52041
SZÉFTÖRŐK,"WELCOME TO CILLINWOOD","BUDAPEST FILM",2003/04/05,6672431,8388
"TERMÉSZETES FÉNY","TERMÉSZETES FÉNY",VERTIGO,2021/09/16,6671215,5932
MAGASFESZÜLTSÉG,"HAUTE TENSION","BEST HOLLYWOOD",2003/12/15,6670770,7767
