cim,origTitle,forgalmazo,bemutato,bevetel,latogato
NAPÓLEON,NAPOLEON,INTERCOM,2023/11/23,438156154,199802
"A GALAXIS ŐRZŐIVOL.  2","GUARDIANS OF THE GALAXY VOL. 2","FÓRUM HUNGARY",2017/05/04,437583770,295877
"FEKETE ÖZVEGY","BLACK WIDOW",FORUM,2021/07/08,437417034,265147
"ALIEN: ROMULUS","ALIEN: ROMULUS",FORUM,2024/08/15,437327859,173684
"BRIDGET JONES BABÁT VÁR","BRIDGET JONES'S BABY","UIP DUNA FILM",2016/09/15,436827965,336437
"TRANSFORMERS 3","TRANSFORMERS: DARK OF THE MOON","UIP DUNA FILM",2011/06/30,436116106,337534
"MADAGASZKÁR 3","MADAGASCAR 3","UIP DUNA FILM",2012/06/14,434500902,349951
"MADAGASCAR 2","MADAGASCAR: ESCAPE 2 AFRICA","UIP DUNA FILM",2008/11/06,434301412,442828
"HARRY POTTER ÉS AZ AZKABANI FOGOLY","HARRY POTTER AND THE PRISONER OF AZKABAN",INTERCOM,2004/06/10,433902477,525536
"PI ÉLETE","LIFE OF PI",INTERCOM,2012/12/20,433809546,297126
"GRU 2.","DESPICABLE ME 2","UIP DUNA FILM",2013/07/13,432998726,333008
"HALÁLOS IRAMBAN: HOBBS & SHAW","FAST & FURIOUS: HOBBS & SHAW","UIP DUNA FILM",2019/08/01,432708358,284408
"BOSSZÚÁLLÓK ","THE AVENGERS","FÓRUM HUNGARY",2012/04/26,431984070,303671
BATMAN,"THE BATMAN ",INTERCOM,2022/03/03,430607745,236250
"LEGENDÁS ÁLLATOK ÉS MEGFIGYELÉSÜK","FANTASTIC BEASTS AND WHERE TO FIND THEM",INTERCOM,2016/11/17,429412695,298162
TRÓJA,TROY,INTERCOM,2004/05/13,425633394,516586
"FEKETE PÁRDUC","BLACK PANTHER ",FORUM,2018/02/15,423513777,272407
"AZ   ","IT  ",INTERCOM,2017/09/07,422739845,302743
"AMERIKA KAPITÁNY: POLGÁRHÁBORÚ","CAPTAIN AMERICA: CIVIL WAR","FÓRUM HUNGARY",2016/05/05,421384323,287554
"SONIC, A SÜNDISZNÓ 2.","SONIC THE HEDGEHOG 2 ",UIP,2022/04/07,419891948,260606
"CSALÓ CSAJOK","THE HUSTLE","FÓRUM HUNGARY",2019/05/09,419105106,284713
"HIHETETLEN CSALÁD 2","INCREDIBLES 2","FÓRUM HUNGARY",2018/07/05,411996559,297344
GLADIÁTOR,,"UIP DUNA FILM",2000/05/18,411410439,736116
"GRAVITÁCIÓ 3D","GRAVITY 3D",INTERCOM,2013/10/03,411162894,242734
"FREE GUY","FREE GUY",FORUM,2021/08/12,410626785,250124
"A SZÉPSÉG ÉS A SZÖRNYETEG","BEAUTY AND THE BEAST","FÓRUM HUNGARY",2017/03/26,409093349,289587
"PAMACS, A MIKULÁS KIS RÉNSZARVASA","ELIOTT THE LITTLEST REINDEER",ADS,2019/12/05,408228225,31187
"AMERIKAI PITE 2.",,"UIP DUNA FILM",2001/11/15,405672123,566703
ELEMI,ELEMENTAL,FORUM,2023/06/15,404842106,210227
MADAGASZKÁR,MADAGASCAR,"UIP DUNA FILM",2005/06/09,403691941,498607
"A GALAXIS ŐRZŐI","GUARDIANS OF THE GALAXY","FÓRUM HUNGARY",2014/08/14,403438771,282154
"MÁSNAPOSOK 2.","THE HANGOVER II.",INTERCOM,2011/05/26,397863284,337886
PASSIO,PASSIO,"BUDAPEST FILM",2004/03/25,397430982,501878
JÉGKORSZAK,,INTERCOM,2002/06/06,396812200,573867
"CSIZMÁS, A KANDÚR","PUSS IN BOOTS","UIP DUNA FILM",2011/12/01,395718580,312969
HOLNAPUTÁN,"DAY AFTER TOMORROW",INTERCOM,2004/05/27,394715245,477305
"JOHN WICK: 4. FELVONÁS","JOHN WICK: CHAPTER 4 ",FORUM,2023/03/23,391680490,186659
"TRANSFORMERS: A KIHALÁS KORA","TRANSFORMERS: AGE OF EXTINCTION","UIP DUNA FILM",2014/06/26,390677543,267247
"ALKONYAT: HAJNALHASADÁS 2. RÉSZ","BREAKING DAWN PART 3",PROVIDEO,2012/11/15,389319299,315590
"A GYILKOS JÁRAT","BULLET TRAIN ",INTERCOM,2022/08/04,389008664,221999
"SZABADSÁG, SZERELEM","SZABADSÁG, SZERELEM",INTERCOM,2006/10/23,386805069,523280
"CSILLAGOK KÖZÖTT",INTERSTELLAR,INTERCOM,2014/11/06,386690906,276604
BAYWATCH,BAYWATCH,"UIP DUNA FILM",2017/07/13,385000499,286822
"SOLO: EGY STAR WARS-TÖRTÉNET","SOLO: A STAR WARS STORY","FÓRUM HUNGARY",2018/05/24,384395691,251275
ÉNEKELJ!,SING,"UIP DUNA FILM",2016/12/22,377879516,296790
"IT ENDS WITH US - VELÜNK VÉGET ÉR","IT ENDS WITH US",INTERCOM,2024/08/15,377070815,160725
"007 SPECTRE - A FANTOM VISSZATÉR",SPECTRE,"FÓRUM HUNGARY",2015/11/05,376963120,267615
